,Unnamed: 0,issuekey,title,description,storypoint
18,18,APSTUD-1698,file system defined scheme file system defined scheme log file code entry eclipse core message file system defined scheme reference code,No file system is defined for scheme file system defined scheme log file code entry eclipse core message file system defined scheme reference code,5
19,19,APSTUD-1839,allow open closed project double project explorer allow open closed project double project explorer div p latest preference selected open double click work switched single click result work p p let know need information p p thanks p div,Allow to open a closed project by double-clicking on it in Project Explorer allow open closed project double project explorer div p latest preference selected open double click work switched single click result work p p let know need information p p thanks p div,5
20,20,APSTUD-1889,editor find certain keyboard editor find certain keyboard scenario several open cursor focus somewhere within find bottom screen f reproduce open file studio editor open find f focus press tab behavior user able use keyboard studio actual behavior keyboard work focus find note also open resource close window w,The editor find toolbar interrupts certain keyboard shortcuts editor find certain keyboard scenario several open cursor focus somewhere within find bottom screen f reproduce open file studio editor open find f focus press tab behavior user able use o keyboard studio actual behavior keyboard work focus find note also open resource close window w,5
21,21,APSTUD-1978,error project attached git error project attached git div tried delete test project used got exception caught delete resource could delete git p p p code could delete e eclipse git could delete e eclipse git code p could delete e eclipse p p could delete e eclipse git could delete e eclipse git could delete e eclipse could delete e eclipse p div,Error deleting project attached to git error project attached git div tried delete test project used got exception caught delete resource could delete git p p p code could delete e eclipse git could delete e eclipse git code p could delete e eclipse p p could delete e eclipse git could delete e eclipse git could delete e eclipse could delete e eclipse p div,8
22,22,APSTUD-2120,visible unity window manager visible unity window manager show menu bar unity window manager,Menus aren't visible in Ubuntu Unity window manager visible unity window manager show menu bar unity window manager,8
23,23,APSTUD-2129,select tag area feature select tag area feature div p assigned select tag area tender discussion see tender request suggestion allow one click access select content tag pair suggest ruble command select tag pair content select tag content p p made feature request p p support browse support browse p p select tag area p p feature every text editor designed edit syntax content available significantly time spent complex markup p p unfortunately one tool know quantum plus old buggy tired editor live without p p feature becomes p p logged request back much version circulation fire remind potential make sure make stick p p afraid basic feature still unavailable justify future p p moment quantum heavily environment code freely python choice dislike use one text editor love use without feature analogous select tag area afraid game p div,"""select tag area"" feature select tag area feature div p assigned select tag area tender discussion see tender request suggestion allow one click access select content tag pair suggest ruble command select tag pair content select tag content p p made feature request p p support browse support browse p p select tag area p p feature every text editor designed edit syntax content available significantly time spent complex markup p p unfortunately one tool know quantum plus old buggy tired editor live without p p feature becomes p p logged request back much version circulation fire remind potential make sure make stick p p afraid basic feature still unavailable justify future p p moment quantum heavily environment code freely python choice dislike use one text editor love use without feature analogous select tag area afraid game p div",5
24,24,APSTUD-2134,add location property file add location property file div p current system p code class ruby template custom template invoke context time io read file match match end end code p something like project p code class ruby basic web type web location zip description basic template default index file end code p e p code class ruby template custom template location end code p default would environment substitution p div also add setting allow turning parameter substitution identical project,Add .location property to file templates add location property file div p current system p code class ruby template custom template invoke context time io read file match match end end code p something like project p code class ruby basic web type web location zip description basic template default index file end code p e p code class ruby template custom template location end code p default would environment substitution p div also add setting allow turning parameter substitution identical project,1
25,25,APSTUD-2186,nan,,20
26,26,APSTUD-2252,warn user project area warn user project area div p change apply em em new project support p p user use default location provide warning message right location field location question already since path long make sure easy see full path user saving project p div,Warn user if they are creating project in an area with pre-existing files warn user project area div p change apply em em new project support p p user use default location provide warning message right location field location question already since path long make sure easy see full path user saving project p div,1
27,27,APSTUD-2286,implement terminal detection implement terminal detection terminal long history output couple mouse wheel jump back certain point however manually drag scroll bar see history beyond point seen reproducible machine tail see similar attached movie short investigation issue implementation detection terminal detection issue fix implement detection code make free drawing,Implement improved terminal hyperlink detection implement terminal detection terminal long history output couple mouse wheel jump back certain point however manually drag scroll bar see history beyond point seen reproducible machine tail see similar attached movie short investigation issue implementation detection terminal detection issue fix implement detection code make free drawing,8
28,28,APSTUD-2345,add color preview support editor add color preview support editor editor support color preview way editor build studio build build date may,Add color preview support for SASS editor add color preview support editor editor support color preview way editor build studio build build date may,5
29,29,APSTUD-2430,find bar auto select search text find bar auto select search text div p currently open find bar f text selected cursor beginning input think automatically select content input start immediately replace whatever last search p div,Find bar should auto-select search text when opened find bar auto select search text div p currently open find bar f text selected cursor beginning input think automatically select content input start immediately replace whatever last search p div,5
30,30,APSTUD-2451,support syntax coloring support syntax coloring div p support syntax coloring coffee script coffee script p div,Support CoffeeScript syntax coloring support syntax coloring div p support syntax coloring coffee script coffee script p div,1
31,31,APSTUD-2573,local import quick fix condense file local import quick fix condense file div p reproduce p code class python class object string import template return template press line hold string string code p result p code class python class object string import template string import return template code p p code class python class object string import template return template code div,Pydev local import quick fix does not condense imports from same file local import quick fix condense file div p reproduce p code class python class object string import template return template press line hold string string code p result p code class python class object string import template string import return template code p p code class python class object string import template return template code div,1
32,32,APSTUD-2691,add support content assist hover add support content assist hover pop content assist hovering content provide focus,Add F2 support for Content Assist Hover add support content assist hover pop content assist hovering content provide focus,20
33,33,APSTUD-2705,expand collapse project explorer drawn expand collapse project explorer drawn please see attached expand collapse white border surrounding making look bit ugly,Expand / Collapse icons in Project Explorer drawn with 1px borders expand collapse project explorer drawn please see attached expand collapse white border surrounding making look bit ugly,13
34,34,APSTUD-2708,allow colorization folding line number area editor gutter allow colorization folding line number area editor gutter studio could custom color area line folding site see image seem lost ability studio,Allow colorization of folding/line number area in editor gutter allow colorization folding line number area editor gutter studio could custom color area line folding site see image seem lost ability studio,1
35,35,APSTUD-2710,allow u set flag filter outline include allow u set flag filter outline include sometimes ast want denote structure something internally make sense outline field code common easily skip flatten node e ruby want inside want show block else switch case meaning show node show relevant,"Allow us to set a flag on ParseNodes to filter them our of outline, but to include their children allow u set flag filter outline include sometimes ast want denote structure something internally make sense outline field code common easily skip flatten node e ruby want inside want show block else switch case meaning show node show relevant",1
36,36,APSTUD-2712,allow per project allow per project rather apply globally allow per project,Allow per-project formatter settings allow per project rather apply globally allow per project,1
37,37,APSTUD-2715,code assist explanation top code assist overlay code assist explanation top code assist overlay code assist selector code overlay explaining selector top selector instead side cannot see possible overlay way,"Code assist ""explanation"" overlays on top of code assist dropdown overlay. code assist explanation top code assist overlay code assist selector code overlay explaining selector top selector instead side cannot see possible overlay way",1
38,38,APSTUD-2717,code assist opener code assist opener script language code assist overlay however use sign code assist appear studio format code please,Code assist cancels out if using quotations on javascript opener tags code assist opener script language code assist overlay however use sign code assist appear studio format code please,1
39,39,APSTUD-2727,add support white space code add support white space code add control,Add support for JavaScript white-space code formatting add support white space code add control,1
40,40,APSTUD-2728,add warning theme rule rule add warning theme rule rule new rule theme possible user may add rule one trying color scope user confused new rule generally work suggest warning another rule exactly current definition ask would like edit rule instead rule rule exactly definition would like edit rule instead yes delete rule could possibly done warning well experimentation might necessary see intuitive,Add warning when adding a theme rule that duplicates an existing rule add warning theme rule rule new rule theme possible user may add rule one trying color scope user confused new rule generally work suggest warning another rule exactly current definition ask would like edit rule instead rule rule exactly definition would like edit rule instead yes delete rule could possibly done warning well experimentation might necessary see intuitive,8
41,41,APSTUD-2733,separation element separation element separation element public private abstract static,Separation for PHP element colouring separation element separation element public private abstract static,1
42,42,APSTUD-2752,support ruby watch support ruby watch support watch ruby like port easily single class couple class registered via core extension point,Support Ruby Watch Expressions support ruby watch support watch ruby like port easily single class couple class registered via core extension point,8
43,43,APSTUD-2758,display helpful error message self non void tag display helpful error message self non void tag two different related reproduce enter video edit window actual result window video result window something like self syntax used non void element reproduce enter div edit window actual result result error displayed result window something like self syntax used non void element,Display a helpful error message when self-closing a non-void HTML tag display helpful error message self non void tag two different related reproduce enter video edit window actual result window video result window something like self syntax used non void element reproduce enter div edit window actual result result error displayed result window something like self syntax used non void element,1
44,44,APSTUD-2771,change default add remote git box change default add remote git box currently remote default git project git read suggest instead default git project git read write alternately might ask user contributor project observer perhaps offer switch two,"Change default URL for ""Add Remote"" Git dialog box change default add remote git box currently remote default git project git read suggest instead default git project git read write alternately might ask user contributor project observer perhaps offer switch two",1
45,45,APSTUD-2772,add new push new branch remote command git menu add new push new branch remote command git menu local project new user instructed following git remote add origin git project git git push u origin master first one done inside studio add remote second one user forced terminal push new branch remote menu option help step,"Add new ""push new branch to remote"" command to Git menu add new push new branch remote command git menu local project new user instructed following git remote add origin git project git git push u origin master first one done inside studio add remote second one user forced terminal push new branch remote menu option help step",1
46,46,APSTUD-2773,nan,,1
47,47,APSTUD-2775,slightly arrange project creation template selection slightly arrange project creation template selection attached tiny bit order use template leave create project box checked choose template suggest two leave check user actually selected template list remove instead add template top option list selected default,Slightly re-arrange existing project creation UI for template selection slightly arrange project creation template selection attached tiny bit order use template leave create project box checked choose template suggest two leave check user actually selected template list remove instead add template top option list selected default,1
48,48,APSTUD-2782,create type view create type view currently sort mix type lexical outline create separate view type information index currently active project would separate outline view,Create JS Type View for Projects create type view currently sort mix type lexical outline create separate view type information index currently active project would separate outline view,1
49,49,APSTUD-2789,default name theme copy default name theme copy open studio page press button make copy theme note default name new theme suggest name copy copy duplicate naming eclipse,Nicer default name for theme copy default name theme copy open studio page press button make copy theme note default name new theme suggest name copy copy duplicate naming eclipse,1
50,50,APSTUD-2796,nan,,1
51,51,APSTUD-2798,add deploy menu entry merge context menu add deploy menu entry merge context menu merge view merge listed x possible directly view x menu entry view search project explorer explorer deploy menu entry context menu merge view,"Add ""Deploy"" Menu-Entry to ""Merge Results"" Context Menu add deploy menu entry merge context menu merge view merge listed x possible directly view x menu entry view search project explorer explorer deploy menu entry context menu merge view",1
52,52,APSTUD-2809,add editor view add editor view studio useful see information current position cursor suggest view following information depending current cursor position would show following content type text scope source text offset start offset end length,Add editor debug items to properties view add editor view studio useful see information current position cursor suggest view following information depending current cursor position would show following content type text scope source text offset start offset end length,1
53,53,APSTUD-2811,automatically sync remote site one way automatically sync remote site one way deployment automatically sync remote site selected automatically sync chosen opening file remote connection making change saving file initiate sync local copy file local copy remains unchanged opening file locally saving initiate sync remote copy,"""Automatically sync my changes with the remote site"" only syncs one way automatically sync remote site one way deployment automatically sync remote site selected automatically sync chosen opening file remote connection making change saving file initiate sync local copy file local copy remains unchanged opening file locally saving initiate sync remote copy",8
54,54,APSTUD-2816,convert new template menu create untitled default convert new template menu create untitled default currently file new template menu new project based file new file depending active selection project explorer project based behavior many want ability create new untitled file possible user would preselect type file e order achieve studio selection based current selection worked clumsy solution different proposal default make new template menu adopt following behavior file new template new untitled file type new behavior right click project project explorer view new project based file current behavior right click file system node project explorer new file file system current behavior link another ticket make easier save file project file depending user preference,"Convert ""New From Template"" menu to create ""Untitled"" files by default convert new template menu create untitled default currently file new template menu new project based file new file depending active selection project explorer project based behavior many want ability create new untitled file possible user would preselect type file e order achieve studio selection based current selection worked clumsy solution different proposal default make new template menu adopt following behavior file new template new untitled file type new behavior right click project project explorer view new project based file current behavior right click file system node project explorer new file file system current behavior link another ticket make easier save file project file depending user preference",1
55,55,APSTUD-2817,add allow user choose saving new untitled file project file system add allow user choose saving new untitled file project file system saving new untitled file default mechanism bring save file system save file somewhere drive becomes instead want save project unfortunately universally add option possible untitled derived editor class propose following override default behavior untitled pop user save file system project radio button selection depending choice pop correct subsequent save extra somehow embed save choice user answer two subsequent also suggest could user remember choice almost always want one,"Add dialog to allow user to choose between saving a new ""Untitled"" file into a project or the file system add allow user choose saving new untitled file project file system saving new untitled file default mechanism bring save file system save file somewhere drive becomes instead want save project unfortunately universally add option possible untitled derived editor class propose following override default behavior untitled pop user save file system project radio button selection depending choice pop correct subsequent save extra somehow embed save choice user answer two subsequent also suggest could user remember choice almost always want one",1
56,56,APSTUD-2820,handle common meta define ruby indexing handle common meta define ruby indexing number class level attach delegate currently handle need look manually expand type method list include result calling,Handle common meta-programming idioms that define methods for Ruby indexing handle common meta define ruby indexing number class level attach delegate currently handle need look manually expand type method list include result calling,1
57,57,APSTUD-2821,allow go declaration ruby require load allow go declaration ruby require load support go declaration like type method support opening related file require load,Allow for go to declaration on Ruby require/load strings allow go declaration ruby require load support go declaration like type method support opening related file require load,1
58,58,APSTUD-2823,allow spacing allow spacing currently format spacing various syntax like,Allow spacing customization in CSS Formatter allow spacing currently format spacing various syntax like,1
59,59,APSTUD-2843,add parse level validation add parse level validation enter syntax document warning left gutter replicate open studio select file template file new template template open new file editor select text enter following file content invalid tag actual syntax left gray left gray report invalid syntax,Add XML parse-level validation add parse level validation enter syntax document warning left gutter replicate open studio select file template file new template template open new file editor select text enter following file content invalid tag actual syntax left gray left gray report invalid syntax,8
60,60,APSTUD-2853,create wrapper code create wrapper code eclipse however replacement instance available eclipse cannot universally switch yet deprecation problematic since display unused annotation eclipse suggest making wrapper single thus two view rather hundred,Create wrapper for InstanceScope() and DefaultScope() in code create wrapper code eclipse however replacement instance available eclipse cannot universally switch yet deprecation problematic since display unused annotation eclipse suggest making wrapper single thus two view rather hundred,1
61,61,APSTUD-2854,new template list possible file provide template option new template list possible file provide template option file instance really default template basically empty document make sure entry new menu suggest instead scanning file type template attached suggest entry file type blank file also make easier convert file new template create untitled cut number unnecessary,"""New From Template"" should list all possible file types, and provide a template option for each new template list possible file provide template option file instance really default template basically empty document make sure entry new menu suggest instead scanning file type template attached suggest entry file type blank file also make easier convert file new template create untitled cut number unnecessary",1
62,62,APSTUD-2901,create studio start page create studio start page would crib titanium studio start page page show first update page would contain following content link documentation link install link install library link release latest version link stack overflow,Create Aptana Studio Start Page create studio start page would crib titanium studio start page page show first update page would contain following content link documentation link install link install library link release latest version link stack overflow,1
63,63,APSTUD-2902,code code class chain pattern code function chain parameter example class q create q select list available function displayed q create q code,PHP chaining code hinting code class chain pattern code function chain parameter example class q create q select list available function displayed q create q code,5
64,64,APSTUD-2941,notify studio upgrade studio notify studio upgrade studio probably something home page also perhaps tell new direct install new version show migration guide,Notify Studio 2 users that there is an upgrade to Studio 3 notify studio upgrade studio probably something home page also perhaps tell new direct install new version show migration guide,1
65,65,APSTUD-2971,use regular improve scope selector matching performance use regular improve scope selector matching performance current implementation matching require roughly n worst case wondering could convert selector perform match instead would lot faster example bit selector could look like following code b text z b b source z b code,Use regular expressions to improve scope selector matching performance use regular improve scope selector matching performance current implementation matching require roughly n worst case wondering could convert selector perform match instead would lot faster example bit selector could look like following code b text z b b source z b code,13
66,66,APSTUD-2983,explorer constantly refreshing content git bound explorer constantly refreshing content git bound reproduce check project git suggest ruble file import git repository switch explorer expand folder edit save note order repeat new file see screen short,App Explorer constantly refreshing/resorting contents on Git-bound projects explorer constantly refreshing content git bound reproduce check project git suggest ruble file import git repository switch explorer expand folder edit save note order repeat new file see screen short,8
67,67,APSTUD-2998,stage hunk selected git studio stage hunk selected git studio got working nicely git one thing opening git staging part file git select either stage stage hunk allow stage file important support staging individual hunk,Stage hunks/selected lines with Git in Aptana Studio 3? stage hunk selected git studio got working nicely git one thing opening git staging part file git select either stage stage hunk allow stage file important support staging individual hunk,20
68,68,APSTUD-2999,set ruby set ruby editor allow setting ruby view ruby code starting ruby code like please describe detail thanks,Can't set breakpoint in haml (ruby) templates set ruby editor allow setting ruby view ruby code starting ruby code like please describe detail thanks,1
69,69,APSTUD-3014,support scheme extension support scheme extension support infrastructure forget handling assume connect e login password port host able see use editor trying get content assist public anonymous site enter code code space cursor something user actually getting back pub incoming,"Support ""ftp"" scheme using EFS filesystem extension support scheme extension support infrastructure forget handling assume connect e login password port host able see use editor trying get content assist public anonymous site enter code code space cursor something user actually getting back pub incoming",1
70,70,APSTUD-3045,nan,,1
71,71,APSTUD-3053,support mac o x lion full screen view support mac x lion full screen view mac x lion full screen feature lot native would great feature like,Support for Mac OS X Lion Full Screen View support mac o x lion full screen view mac o x lion full screen feature lot native would great feature like,8
72,72,APSTUD-3061,copy cut paste intermittently editor copy cut paste intermittently editor strange issue happening since studio version sometimes copy cut text editor paste somewhere else different file paste last thing second last depending look instead recent thing copied thought maybe keyboard working since never experienced something like worker also copy paste knew one time copy paste sure another bug side bug isolated know replicate know happening seemingly random time update people relief unbinding command c copy general unbinding resolved issue copy paste randomly working also long standing eclipse issue eclipse id eclipse id investigation,Copy/Cut/Paste intermittently fails in editor copy cut paste intermittently editor strange issue happening since studio version sometimes copy cut text editor paste somewhere else different file paste last thing second last depending look instead recent thing copied thought maybe keyboard working since never experienced something like worker also copy paste knew one time copy paste sure another bug side bug isolated know replicate know happening seemingly random time update people relief unbinding command c copy general unbinding resolved issue copy paste randomly working also long standing eclipse issue eclipse id eclipse id investigation,13
73,73,APSTUD-3100,create profile appropriate code correctness create profile appropriate code correctness default profile strict current code base need create limited profile use validate code possible please create profile run current source code see around confirmation,Create FindBugs Profile appropriate for validating code correctness create profile appropriate code correctness default profile strict current code base need create limited profile use validate code possible please create profile run current source code see pas around confirmation,1
74,74,APSTUD-3101,create profile validate studio code create profile validate studio code default profile strict create default profile use validate code correctness please create profile run current source code see around confirmation,Create PMD profile to validate Studio code create profile validate studio code default profile strict create default profile use validate code correctness please create profile run current source code see pas around confirmation,1
75,75,APSTUD-3130,upgrade unit test coverage upgrade unit test coverage current unit test coverage around class method block line need get higher class need test please create sub task class want test edit document indicate test already task particular class someone else one choose another bunch related class group one task coverage class class method block line default emma core,Upgrade Unit Test Coverage upgrade unit test coverage current unit test coverage around class method block line need get higher class need test please create sub task class want test edit document indicate test already task particular class someone else one choose another bunch related class group one task coverage class class method block line default emma core,20
76,76,APSTUD-3132,nan,,1
77,77,APSTUD-3133,auto format code block brace option auto format code block brace option great feature auto format code block brace setting accessible window would nice feature attached screen another showing behavior solution add preference default setting find relevant ast convert selection perform format add lot unit,"JavaScript - ""Auto format code block when typing closing brace '}'"" formatting option as there is in Aptana 2 auto format code block brace option great feature auto format code block brace setting accessible window would nice feature attached screen another showing behavior solution add preference default setting find relevant ast convert selection perform format add lot unit",20
78,78,APSTUD-3149,convert process outside terminal console process convert process outside terminal console process ran issue path holding breaking git added method convert two need make sure convert anywhere inside terminal bash,Convert cygwin paths to Windows paths in ENV when executing process outside Terminal (console/process/ProcessBuilder) convert process outside terminal console process ran issue path holding breaking git added method convert two need make sure convert anywhere inside terminal bash,1
79,79,APSTUD-3189,support go definition support go definition come trying close must studio x ticket support go definition,Support Javascript go to definition hyperlinks support go definition come trying close must studio x ticket support go definition,1
80,80,APSTUD-3228,allow creation new project dragging folder root project explorer onto dock icon allow creation new project dragging folder root project explorer onto dock icon simple create project dragging folder finder explorer either project explorer root onto e g dock icon studio basic function although done tree project explorer tedious dig entire hierarchy access folder already browser view first feature eclipse still please implement valuable first time experienced alike,Allow creation of a new project by dragging folder into root of project explorer or onto dock icon allow creation new project dragging folder root project explorer onto dock icon simple create project dragging folder finder explorer either project explorer root onto e g dock icon studio basic function although done tree project explorer tedious dig entire hierarchy access folder already o browser view first feature eclipse still please implement valuable first time experienced alike,13
81,81,APSTUD-3250,shrink remove errant indexing shrink remove errant indexing file indexing following message printed log file code entry eclipse core message resource build android bin asset exist entry editor message build error file found c titanium studio build android bin asset stack eclipse core file found c titanium studio build android bin asset eclipse core internal policy error policy eclipse core internal local editor index index core index index core index core run eclipse core internal worker run worker io c titanium studio build android bin asset system cannot find path io open native method io unknown source eclipse core internal local subentry eclipse core message file found c titanium studio build android bin asset stack io c titanium studio build android bin asset system cannot find path io open native method io unknown source eclipse core internal local editor index index core index index core index core run eclipse core internal worker run worker code bit need print message perhaps print modification top one w stack trace display stack trace severity,Shrink (or remove) errant indexing messages shrink remove errant indexing file indexing following message printed log file code entry eclipse core message resource build android bin asset exist entry editor message build error file found c titanium studio build android bin asset stack eclipse core file found c titanium studio build android bin asset eclipse core internal policy error policy eclipse core internal local editor index index core index index core index core run eclipse core internal worker run worker io c titanium studio build android bin asset system cannot find path io open native method io unknown source eclipse core internal local subentry eclipse core message file found c titanium studio build android bin asset stack io c titanium studio build android bin asset system cannot find path io open native method io unknown source eclipse core internal local editor index index core index index core index core run eclipse core internal worker run worker code bit need print message perhaps print modification top one w stack trace display stack trace severity,8
