,issuekey,title,description,storypoint
10,MESOS-920,Set GLOG_drop_log_memory=false in environment prior to logging initialization.,set false environment prior logging slow respond two collected slow respond kernel k kernel k kernel k kernel k kernel k kernel k kernel k kernel k found made disable via environment true drop memory log content grow quickly rarely read need memory instead drop memory soon disk code logging evict recent page logging code set false prior making call avoid running issue,2
11,MESOS-934,'Logging and Debugging' document is out-of-date.,logging document date following longer correct apache documentation latest logging either delete document write entirely,1
12,MESOS-976,SlaveRecoveryTest/1.SchedulerFailover is flaky,flaky running test test case global test environment set test internal slave run master master id twitter master master master master register master newly leader master master leading master slave slave slave slave mem disk slave slave twitter slave slave true hierarchy root state state meta status update manager master master new master new client connection master framework authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step authenticator authentication success authentication success master successfully framework successfully master master master received registration request master framework added framework slave finished recovery slave new master master new master master master register slave twitter slave slave new master master slave twitter mem disk slave registered master master given slave id slave meta slave added slave twitter mem disk mem disk available master sending framework master reply slave twitter framework master task mem disk slave twitter master task framework mem disk slave twitter slave got assigned task framework slave meta framework slave framework meta framework slave task framework slave meta executor slave meta task slave task executor framework home build executor mem disk framework executor framework mem disk executor framework memory executor framework memory executor framework listening executor framework forked executor executor forked meta forked slave executor framework forked fetching slave got registration executor framework slave executor executor meta slave flushing task executor framework registered executor twitter starting task sh c sleep forked command slave handling status update task framework executor received status update task framework update status update task framework forwarding status update task framework master slave sending status update task framework executor master status update task framework slave received status update task framework status update task framework slave slave master slave twitter disconnected slave disconnected master master new master new client connection master framework authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step authenticator authentication success authentication success master successfully framework successfully master master master framework master framework master deactivate framework message framework registered framework slave slave slave slave mem disk slave slave twitter slave slave true hierarchy root state state meta slave framework slave executor framework status update manager executor framework executor framework listening executor framework slave sending reconnect request executor framework executor slave executor framework executor framework mem disk executor framework memory executor framework registered executor twitter slave cleaning un slave finished recovery slave new master master new master master slave new master master slave slave twitter register already use id slave registered master master slave slave framework master kill task framework slave framework meta framework master telling slave twitter kill task framework slave kill task framework shutting killing process tree,1
13,MESOS-988,ExamplesTest.PythonFramework is flaky,flaky like shutdown run temporary directory warning logging written process logging logging master master id apache master master master master register master given advertising slave slave slave slave slave slave mem disk slave slave mem disk slave slave apache slave slave true slave slave apache slave slave true master newly leader master id master leading master state state meta state state meta hierarchical allocator process master master status update manager status update manager slave finished recovery slave finished recovery slave new master master new master master slave new master slave new master master slave new master new master master master register slave apache slave master slave apache mem disk master register slave apache slave slave registered master master given slave id master slave apache mem disk added slave apache mem disk mem disk available slave registered master master given slave id allocation slave slave meta slave slave meta slave added slave apache mem disk mem disk available allocation slave slave slave slave slave mem disk slave slave apache slave slave true state state meta status update manager slave finished recovery slave new master master new master master slave new master master register slave apache slave master slave apache mem disk slave registered master master given slave id added slave apache mem disk mem disk available slave meta slave allocation slave version new master master master master new master client new client connection master framework authenticator server memory auxiliary property authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step request user test principal realm apache server apache false false false looking auxiliary property looking auxiliary property request user test principal realm apache server apache false false true skipping auxiliary property since true skipping auxiliary property since true authenticator authentication success master successfully framework authentication success successfully master master master received registration request master framework framework registered added framework offering mem disk slave framework offering mem disk slave framework offering mem disk slave framework registered took allocation master offer mem disk slave apache master offer mem disk slave apache master offer mem disk slave apache master sending framework took master removing offer mem disk slave apache master reply slave apache framework master task mem slave apache master task framework mem slave apache slave got assigned task framework framework left mem disk unused slave master removing offer mem disk slave apache master reply slave apache framework framework slave slave task framework master task mem slave apache master task framework mem slave apache slave got assigned task framework master removing offer mem disk slave apache master reply slave apache framework slave task framework master task mem slave apache master task framework mem slave apache framework left mem disk unused slave framework slave framework left mem disk unused slave framework slave slave got assigned task framework slave task framework slave task executor default framework default home slave trunk build set python test executor default mem framework slave successfully attached file default forked executor slave task executor default framework default home slave trunk build set python test executor default mem framework slave successfully attached file default forked executor slave task executor default framework slave executor default framework forked slave successfully attached file default default home slave trunk build set p,3
14,MESOS-998,Slave should wait until Containerizer::update() completes successfully,slave wait update successfully container several slave check update successful even wait,5
15,MESOS-999,Slave should wait() and start executor registration timeout after launch ,slave wait start executor registration launch current code start launch container wait launch complete container successfully likewise executor registration,3
16,MESOS-1010,Python extension build is broken if gflags-dev is installed,python extension build broken dev environment build master broken python module ya python build python c import recent call last file string line module home python build undefined symbol unmangled version symbol like char char char char void void configure step development thus implicitly dependency python module perhaps break without task done test pas system,3
17,MESOS-1013,ExamplesTest.JavaLog is flaky,flaky test framework flaky possibly related race condition run temporary directory main starting local server check missing local replica missing position writing done check failure stack trace script failure sh signal aborted full attached,2
18,MESOS-1081,Master should not deactivate authenticated framework/slave on new AuthenticateMessage unless new authentication succeeds.,master deactivate framework slave new unless new authentication master deactivate framework slave upon new unless new authentication malicious user could spoof framework slave send knock valid framework slave list forcing valid framework slave authenticate register could used do attack handle scenario actual framework slave authentication,1
19,MESOS-1114,Authorize task/executor launches,nan,8
20,MESOS-1119,Allocator should make an allocation decision per slave instead of per framework/role.,allocator make allocation decision per slave instead per framework role currently allocator allocate code based sort first framework logic bit inversed instead slave go slave allocate role framework update,2
21,MESOS-1120,HTTP auth for CLI,integrate,3
22,MESOS-1127,Implement the protobufs for the scheduler API,implement default executor interface implementation interface fairly high level hard certain example handle batch big impact performance example writing task need implementation writing lot native python additional plan provide lower level easily used implement higher level currently provided also open door easily building native language e needing c shim layer building new higher level top lower level,8
23,MESOS-1143,Add a TASK_ERROR task status.,add task status task validation drop send status framework want relaunch task gone lost event task actually malformed thus invalid result infinite loop sending task go lost,2
24,MESOS-1148,Add support for rate limiting slave removal,add support rate limiting slave removal safeguard unforeseen leading widespread slave removal would nice allow rate limiting decision remove send ideally would allow operator notified soon enough intervene causing cluster impact,3
25,MESOS-1195,systemd.slice + cgroup enablement fails in multiple ways. ,slice enablement multiple way configure use rawhide machine isolation mem create could create create subsystem mounted total x root root mar x root root mar x root root mar root root mar root root mar x root root mar x root root mar x root root mar x root root mar freezer x root root mar x root root memory x root root mar x root root mar x root root mar,3
26,MESOS-1199,"Subprocess is ""slow"" -> gated by process::reap poll interval",slow gated process reap poll interval process reap wait set exit status however process reap one second interval resulting delay interval duration status future set need wait complete get hit e delay independent execution time example fetcher fetch executor launch twitter fetch local file e fast operation launch blocked fetcher every launch problem even worse chain short first synchronized reap interval see nearly full interval notification e second duration take become particularly apparent new working test greatly extended taking several,1
27,MESOS-1219,Master should disallow frameworks that reconnect after failover timeout.,master disallow reconnect framework id usually know actually handled new framework framework route web handle well key one would make sense ignore provided framework id framework generate new id make sure unique,2
28,MESOS-1236,stout's os module uses a mix of Try<Nothing> and bool returns,stout o module mix try nothing bool stout o module use try nothing return throughout,2
29,MESOS-1237,stout's os::ls should return a Try<>,stout o return try stout o list empty instead return try list consistent,2
30,MESOS-1303,"ExamplesTest.{TestFramework, NoExecutorFramework} flaky",flaky trouble observe system running test case global test environment set run script failure sh signal abort trap run total global test environment tear test case ran total test test listed investigating make check apache r run run script failure sh signal aborted run run run run total,1
31,MESOS-1307,Authorize offer allocations,authorize offer register reregister authorize split register framework reregister framework,8
32,MESOS-1316,Implement decent unit test coverage for the mesos-fetcher tool,implement decent unit test coverage fetcher tool current cover fetcher tool hence like accidentally slipped though,2
33,MESOS-1332,Improve Master and Slave metric names,improve master slave metric move metric new consider current metric make clearer may also worth considering counter style metric,3
34,MESOS-1339,"Add ""per-framework-principal"" counters for all messages from a scheduler on Master",add per framework principal master framework principal used identify one multiple use principal one counter showing combined message count,3
35,MESOS-1344,Add flags support for JSON,nan,2
36,MESOS-1347,GarbageCollectorIntegrationTest.DiskUsage is flaky.,flaky apache job run temporary directory compacted beginning replica replica log unlearned recover starting replica recovery master master hemera apache master master register master master register loading authentication recover replica empty status file file file directory master given advertising hierarchical allocator process master master replica replica empty status received recover request master newly leader master id master leading master master registrar recover received recover response replica empty status registrar registrar recover replica status starting persisting took replica replica status starting recover replica starting status replica replica starting status received recover request recover received recover response replica starting status recover replica status voting persisting took replica replica status voting recover successfully group recover recover process log start writer replica replica received implicit promise request proposal persisting took replica fill missing position replica replica received explicit promise request position proposal persisting action took replica action replica replica received write request position reading position took persisting action took replica action replica replica received learned notice position persisting action took replica action replica replica learned action position log writer ending position reading position took registrar successfully fetched registry registrar update registry log append log write append action position replica replica received write request position persisting action took replica action replica replica received learned notice position persisting action took replica action replica replica learned append action position registrar successfully registry registrar successfully registrar master registry register log truncate log write truncate action position replica replica received write request position slave slave loading authentication file file credential file directory slave slave credential test principal slave slave mem disk slave slave hemera apache slave slave false state state meta status update manager slave finished recovery slave new master master slave master master new master master slave new master new client connection master slave authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step request user test principal realm hemera apache server hemera apache false false false looking auxiliary property looking auxiliary property request user test principal realm hemera apache server hemera apache false false true skipping auxiliary property since true skipping auxiliary property since true authenticator authentication success authentication success master successfully slave slave successfully master master slave retry registration necessary master slave slave hemera apache id registrar update registry persisting action took replica action replica replica received learned notice position persisting action took took replica action replica replica learned truncate action position log append log write append action position replica replica received write request position persisting action took replica action replica replica received learned notice position persisting action took replica action replica replica learned append action position registrar successfully registry log truncate log master registered slave slave hemera apache master slave slave hemera apache mem disk write truncate action position slave registered master master given slave id added slave hemera apache mem disk mem disk available allocation slave replica replica received write request position version new master master master master new client connection master authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step request user test principal realm hemera apache server hemera apache false false false looking auxiliary property looking auxiliary property request user test principal realm hemera apache server hemera apache false false true skipping auxiliary property since true skipping auxiliary property since true authenticator authentication success authentication success master successfully successfully master master sending registration request master master received registration request master framework framework registered added framework registered took offering mem disk slave framework allocation master offer mem disk slave hemera apache master sending framework took master removing offer mem disk slave hemera apache master reply slave slave hemera apache framework master task mem slave hemera apache master task framework mem slave slave hemera apache slave got assigned task framework slave task framework framework left disk unused slave framework slave version executor executor slave task executor default framework slave successfully attached file default slave executor default framework container slave got registration executor default framework slave flushing task executor default framework executor registered slave persisting action took replica action replica replica received learned notice position,2
37,MESOS-1358,Show when the leading master was elected in the webui,show leading master would nice,1
38,MESOS-1365,SlaveRecoveryTest/0.MultipleFrameworks is flaky,flaky run warning logging written version executor registered slave registered executor starting task forked command sh c sleep warning logging written version executor registered slave registered executor starting task sh c sleep forked command received reconnect request slave received reconnect request slave executor registered slave registered executor executor shutdown shutting sending process tree killing following process sh c sleep sleep failure value get state actual program received signal segmentation fault testing testing instance testing message volatile null testing testing instance testing message testing internal operator message internal slave testing internal testing test void object method virtual testing test location test body testing internal testing test void object method virtual testing test location test body testing test run testing run testing run testing internal testing internal testing internal bool object method bool testing internal testing internal testing internal location auxiliary test code event testing internal testing internal bool object method bool testing internal testing internal testing internal location auxiliary test code event testing run testing instance main main frame internal slave get state p data process future data data p get message data static static static static static static internal static p get state list kill task wait update get state kill task,1
39,MESOS-1371,Expose libprocess queue length from scheduler driver to metrics endpoint,expose queue length driver metric expose master event queue length driver,1
40,MESOS-1373,Keep track of the principals for authenticated pids in Master.,keep track master need add principal field verify framework principal registration,3
41,MESOS-1374,Verify static libprocess scheduler port works with Mesos Master,nan,5
42,MESOS-1392,Failure when znode is removed before we can read its contents.,failure removed read content like following occur go away right read content title slave exit group trying create path home test master detector new leader id group trying get home test master detect master get data ephemeral node home test master node slave exit status,3
43,MESOS-1393,Write parser for perf output.,write parser output support output support output return,3
44,MESOS-1394,Test different versions of perf,test different test across different kernel least x across different test input output,3
45,MESOS-1395,Test perf isolator for slave roll forward/roll back,test slave roll forward roll back test add remove handled slave recovery e g without continue report resource statistic include statistic,2
46,MESOS-1396,Introduce a PerfStatistics protobuf,introduce field list convert cased start hardware raw hardware optional include optional field,2
47,MESOS-1397,Rename ResourceStatistics for containers,rename rename optional optional,8
48,MESOS-1398,Document perf isolator flags,document document interval duration event document event name normalization,1
49,MESOS-1410,Keep terminal unacknowledged tasks in the master's state.,keep terminal unacknowledged master state sending master per need keep terminal unacknowledged master memory allow u identify yet update without susceptible,5
50,MESOS-1424,Mesos tests should not rely on echo,rely echo triggered would like propose rely echo use instead useful echo extra string whereas n switch extra unfortunately portable echo bin sh,1
51,MESOS-1425,LogZooKeeperTest.WriteRead test is flaky,test flaky code run port temporary directory compacted beginning replica replica log unlearned persisting took replica replica status voting compacted beginning replica replica log unlearned persisting took replica replica status voting compacted beginning replica replica log unlearned client environment version c client client environment host name client environment o name client environment o arch generic client environment o version tue client environment version c client client environment host name client environment o name client environment o arch generic client environment o version tue client environment user name null log join replica group client environment user name null client environment user home home recover starting replica recovery client environment user home home client environment user client connection host watcher null context client environment user recover replica voting status client connection host watcher null context recover recover process connection server connection server session establishment complete server group group process connected group group queue size group trying create path log compacted beginning replica replica log unlearned client environment version c client client environment host name client environment o name client environment o arch generic client environment o version tue client environment user name null session establishment complete server client environment user home home client environment user client connection host watcher null context group group process connected group group queue size group trying create path log connection server client environment version c client client environment host name client environment o name client environment o arch generic client environment o version tue log join replica group client environment user name null client environment user home home client environment user client connection host watcher null context recover starting replica recovery recover replica voting status recover recover process connection server log start writer session establishment complete server group group process connected session establishment complete server group group queue size group trying create path log group group process connected group group queue size group trying create path log network group group trying get log network group group trying get log network group log replica network group log replica replica replica received implicit promise request proposal replica replica received implicit promise request proposal network group group trying get log network group persisting took group trying get log replica persisting took replica fill missing position group trying get log group trying get log replica replica received explicit promise request position proposal replica replica received explicit promise request position proposal persisting action took replica action persisting action took replica action network group log replica log replica replica replica received write request position reading position took network group log replica log replica persisting action took replica replica received write request position replica action reading position took persisting action took replica action replica replica received learned notice position replica replica received learned notice position persisting action took replica action replica replica learned action position persisting action took replica action replica replica learned action position log writer ending position log append log write append action position replica replica received write request position replica replica received write request position persisting action took replica action persisting action took replica action replica replica received learned notice position replica replica received learned notice position persisting action took replica action persisting action took replica replica learned append action position replica action replica replica learned append action position reading position took network group group trying get log network group log replica socket connection server accept client socket connection server accept client socket connection server accept client network group network group socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket connection server accept client socket,1
52,MESOS-1443,Create a protobuf for framework rate limit configuration and load it as JSON through master flags,nan,2
53,MESOS-1444,Integrate rate limiter into the master,nan,5
54,MESOS-1445,Add new tests for framework rate limiting,nan,3
55,MESOS-1459,Build failure: Ubuntu 13.10/clang due to missing virtual destructor,build failure clang due missing virtual destructor file included launcher main file included launcher launcher file included include process future include process error delete internal launcher operation abstract non virtual destructor non virtual delete bin gnu include c h note member function process internal launcher operation data data delete bin gnu include c h note function template specialization process internal launcher operation data bin gnu include c h note function template specialization process internal launcher operation data process internal launcher operation data swap include process note function template specialization process internal launcher operation data reset process internal launcher operation data data reset new data launcher launcher note member function process internal launcher operation add process operation new launcher main note function template specialization internal launcher add internal launcher launcher add launcher error,1
56,MESOS-1466,Race between executor exited event and launch task can cause overcommit of resources,race executor event launch task cause following sequence cause launch task task whose executor already running executor master executor event behind launch master master task slave need commit task new executor master executor event executor causing,8
57,MESOS-1469,No output from review bot on timeout,output review bot review build time likely due long running failing test output find way stream output build instead waiting build finish,1
58,MESOS-1471,Document replicated log design/internals,document replicated log design internals replicated log could benefit documentation particular work need know possibly overlap future maintenance documentation believe unpublished work could,5
59,MESOS-1472,Improve child exit if slave dies during executor launch in MC,improve child exit slave executor launch many reasonable chance slave fork executor forked child correctly however rather abort safely log exit non zero cleanly,1
60,MESOS-1518,Update Rate Limiting Design doc to reflect the latest changes,update rate limiting design doc reflect latest usage design implementation,2
61,MESOS-1527,Choose containerizer at runtime,choose currently choose slave start time via isolation option like able specify request launch job could new provider field proto,3
62,MESOS-1529,Handle a network partition between Master and Slave,handle network partition master slave network partition master slave master remove slave health check mark run lost however slave aware removed continue run clarify little bit neither master slave event connection master slave closed least two possible issue introduce health check slave master consistent view network partition may still see issue one way connection error occur le aggressive marking lost wait slave reconcile still need mark potentially lost zombie state maybe make intelligent decision,5
63,MESOS-1545,SlaveRecoveryTest/0.MultipleFrameworks is flaky,flaky code run temporary directory compacted beginning replica replica log unlearned recover starting replica recovery recover replica empty status replica replica empty status received recover request recover received recover response replica empty status recover replica status starting master master apache master master register master master register loading authentication master authorization master given advertising hierarchical allocator process master master master newly leader master id master leading master master registrar registrar registrar persisting took replica replica status starting recover replica starting status replica replica starting status received recover request recover received recover response replica starting status recover replica status voting persisting took replica replica status voting recover successfully group recover recover process log start writer replica replica received implicit promise request proposal persisting took replica fill missing position replica replica received explicit promise request position proposal persisting action took replica action replica replica received write request position reading position took persisting action took replica action replica replica received learned notice position persisting action took replica action replica replica learned action position log writer ending position reading position took registrar successfully fetched registry registrar update registry log append log write append action position replica replica received write request position persisting action took replica action replica replica received learned notice position persisting action took replica action replica replica learned append action position registrar successfully registry registrar successfully registrar log truncate log master registry register write truncate action position replica replica received write request position isolation mem slave slave loading authentication credential slave slave credential test principal slave slave mem disk slave slave apache slave slave true state state meta status update manager slave finished recovery slave new master master slave master master slave new master new master master new client connection master slave authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step request user test principal realm apache server apache false false false looking auxiliary property looking auxiliary property request user test principal realm apache server apache false false true skipping auxiliary property since true skipping auxiliary property since true authenticator authentication success authentication success master successfully principal test principal slave version slave successfully master master slave retry registration necessary master slave slave apache id new master master master master registrar update registry new client connection master authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step request user test principal realm apache server apache false false false looking auxiliary property looking auxiliary property request user test principal realm apache server apache false false true skipping auxiliary property since true skipping auxiliary property since true authenticator authentication success authentication success master successfully principal test principal successfully master master sending registration request master master received registration request master framework principal test principal receive role master framework framework registered registered took added framework available allocate allocation persisting action took replica action replica replica received learned notice position slave retry registration necessary master register slave message slave apache admission already progress persisting action took took replica action replica replica learned truncate action position log append log write append action position replica replica received write request position persisting action took replica action replica replica received learned notice position persisting action took replica action replica replica learned append action position registrar successfully registry log truncate log master registered slave slave apache master slave slave apache mem disk write truncate action position slave registered master master given slave id slave meta slave added slave apache mem disk mem disk available offering mem disk slave framework slave received ping slave observer allocation slave replica replica received write request position master offer mem disk slave apache master sending framework took master removing offer mem disk slave apache master reply slave slave apache framework master framework principal test principal launch task user master task mem slave apache master task framework mem slave slave apache slave got assigned task framework framework left mem disk unused slave slave meta framework framework slave slave framework,1
64,MESOS-1559,Allow jenkins build machine to dump stack traces of all threads when timeout,allow build machine dump stack many time build time know test place however time hard reproduce deadlock dev would cool dump stack build time command like following echo thread apply attach,5
65,MESOS-1567,Add logging of the user uid when receiving SIGTERM.,add logging user currently log user id bit difficult easy get information,1
66,MESOS-1571,Signal escalation timeout is not configurable,signal even though executor shutdown grace period set interval signal still either dependent,2
67,MESOS-1578,Improve framework rate limiting by imposing the max number of outstanding messages per framework principal,improve framework rate limiting imposing number outstanding per framework principal rate capacity principal ensure master maintain message order framework important master back ask abort,5
68,MESOS-1586,"Isolate system directories, e.g., per-container /tmp",isolate system e g per container ideally write outside sandbox executor work directory pragmatically may need write directory include disk usage quota make private e container make lifetime executor work directory,3
69,MESOS-1587,Report disk usage from MesosContainerizer,report disk usage report disk usage executor work directory include,5
