,issuekey,title,description,storypoint
15,MDL-18770,Non-graded Assignment and Quizzes appear in the gradebook  and have Max Grade assigned,non graded assignment getting displayed look like included aggregation cat interface since grade value set behave definitely e g forum graded appear column behavior add assignment set grade column still appear go cat interface display grade column though actually included calculation add assignment set graded scale scale included aggregation u maximum grade cat interface display number e g scale since one would expect calculated toward course category total add quiz add make quiz worth maximum grade cat interface still interestingly enough manually delete column kind quiz delete column way add back even though make quiz gradable think related,13
16,MDL-20045,Add unofficial support for custom context levels,issue reference moodle forum discus brief one moodle would benefit greatly able use moodle system would need define context however would like able without differ core unmaintainable way believe would helpful many moodle may help improve readability core moodle code,40
17,MDL-20250,"Add admin settings for disabling particular gradebook calculations, category overriding and grade minimum on the grader report",setting aggregation available added moodle multiplicator offset see exactly added moodle,40
18,MDL-21180,Category children default to extra credit when category agg is switched from Weighted to Simple,category set weighted mean assigned category method switched simple weighted mean extra credit supposedly fixed took account item category entire category switched common,40
19,MDL-21415,Course Participation Report doesn't abide by separate groups,tested participation report non teacher group set separate non teacher set prevent log non teacher set go course click participation report choose activity set show student student show participation report also respect separate,20
20,MDL-21469,Chat window uses browser language rather than preferred language set in profile,reproduce set browser language say dutch login moodle net access moodle net chat view id click enter chat result text chat window preferred language set profile actual result text chat window dutch,3
21,MDL-22236,Design way to send files by web service (upload),find way send draft file area moodle use web service original issue description quote sending hub currently work design token post request talking conclusion sending web service probably script file big biggest order sent write new file web service design could need follow design quote,40
22,MDL-22669,Moodle bug with course restore section count,course import restore source course create increase non sent section,8
23,MDL-23646,"TinyMCE can't be resized and doesn't scroll for wide content, especially on small screens",page think one saw screen small dragging handle cut whole thing pretty well useless see example idea something fixable setting default width editor based width browser thought mention anyway replication log navigate site appearance site selector choose theme right navigate course create page resource reduce size browser window note effect editor result editor covered right actual result right edge editor,20
24,MDL-24120,Allow admin to remain logged in after login as procedure,log moodle go course home page enough block select student login something least nothing return personal account end process always logged,20
25,MDL-24287,Convert group members selector to Shifted YUI3 module.,working think good idea convert group user object rather set within page make code clearer help improve sam,13
26,MDL-24343,Properly deprecate unzip_file/zip_file,sam related recent commit code base found couple used question format format peace p perhaps create meta issue part code clean,3
27,MDL-24380,Chat: autoscroll help popup incorrect and doesn't display fully (it only concerns the alternative chat methods),help chat rather feature,3
28,MDL-24775,a pagedown key press in any tinymce editor destroys entire page layout,page editor kill layout maybe almost page moodle,20
29,MDL-25473,Embedded MP4 videos via linking to the course file loops when finished playing.,embed video like code file code automatically finished happen went moodle folder filter find every occurrence word loop change true false went back video added tag link code param name loop value false code video stopped,5
30,MDL-25544,Improve Grader report user interface,issue large one improving usability accessibility moodle grader report touch screen moodle working group met june determined number key detailed specification moodle dev still finished nutshell expect full screen like display well static quickly reduce information dealt link row column speed,100
31,MDL-26170,Deleted Forum & Blog Posts in RSS Block,moodle even forum post show block even run exploit,8
32,MDL-26244,'Choose a link' for database URL field gives confusing message,going add edit record user lot choose link button problem button completely useless file picker page call file sound like sorry none available repository may return external please take button,8
33,MDL-26408,IMS Enterprise admin notifications fail on message_send(),error error must fixed programmer could load preference component name match row message must appear configure notified receive blah stack trace line thrown line enrol call line call line call look like,2
34,MDL-27158,Default timezone is incorrect when not set in PHP configuration,date set server configuration moodle base default set administration area say time half hour fast date set server configuration issue problem still thinking base moodle current time value moodle go display time e assignment conditional access time incorrect time server local time work fine issue either however moodle set use server local time user manually incorrect might related little different,20
35,MDL-27339,"The link Create ""File system"" instance do not work",defined user add repository user context user create file system instance link get permission screen left left side middle right side view,5
36,MDL-27953,"Upload users option only allow the following authentication options: Manual account, or No login",file choose authentication drop following manual account login x get following authentication manual account login server based self registration,8
37,MDL-28162,[ERROR] Automated backup status,backup continue receive summary error unfinished saved see save unfinished look like course time taken status next backup unit may unfinished may student council may unfinished may staff room may may may may error may chap may may may unit may error may functional skil group year year year error german try look detailed backup course get message detailed execution log course found,100
38,MDL-28448,Teachers cannot delete user submissions - advanced uploading of files,ability delete well revert status draft x teacher deletion possible,20
39,MDL-28631,forbid use of cookies especially from javascript,theme keep smuggling compatible privacy simply stop necessary use user data model repository anomaly theme solution educate see user fix code fix dev,40
40,MDL-29070,Clean enrol_imsenterprise following coding guidelines,enrol one worst seen moodle loop think would great perform general cleanup consideration dev x stable note right file master sending stable backlog initially,3
41,MDL-29441,Chat window does not pop up for separate groups in IE7-9,separate click enter chat nothing select enter chat replication setup go chat group mode separate upper left corner select group try enter chat,4
42,MDL-30195,Export forum discussion without attachments to google docs portfolio,got portfolio moodle site want export forum discussion forum post within discussion export work flawlessly soon forum post within discussion attachment mainly image whole discussion nice meaningless error message saying common available portfolio calling location b single post available portfolio would possible improve export forum discussion regardless attachment user least discussion text,20
43,MDL-30431,Attempting to edit wiki comments from another user causes an error,replication user student role comment user b teacher role edit user comment user b save comment error must fixed programmer invalid state state state moodle en error user able edit comment quite happily,13
44,MDL-30668,Prevent the grader report from storing serialized data in the user_preferences table,see grader report array table table really simple name value would good could avoid data instead human readable data,20
45,MDL-30812,Latest backup files generate error/setting_invalid_ui_label upon restore,staff unable restore recently course backup prior upgrade backup file new course even since upgrade restore process go upon pressing restore error upon pressing continue course showing invisible course process never upgrade latest moodle version alleviate error problem creation backup file since upgrade generating error prior still successfully,20
46,MDL-30839,form validation and error recovery,better mechanism need used help identify form text page invalid submission easily found screen reader several improving error recovery basic premise either automatically set focus error message usually used server side validation use aria notify user error message usually used client side validation provide enough detail error message user error provide link within context error message allow easily jump form tutorial error recovery error technique mechanism jump,20
47,MDL-30852,user report grade view has inaccessible table,table used display user report grade view complex data table thus need explicitly attached correct data complex data table mean single set across either example simple data table view scope attribute table data correct way implement complex data table view id table data id,8
48,MDL-30895,provide easier chat reading for screen reader users in accessible chat activity,accessible version chat activity accessible could usable way navigate discussion bit cumbersome listen screen reader use definition might better store chat table three column one would header column include poster name column would message column would time stamp would allow screen reader simply navigate second column easily hear pertinent information person name message current definition semantically correct quite verbose cumbersome navigate screen reader,13
49,MDL-31089,New posts listing on 'My Moodle' ignores groups.,seeing x since last login course overview moodle even belong access presumably get notification new able see replication create course forum set separate create two enrol post something one group forum log student group see post since last login message subject course overview,40
50,MDL-31356,IMS Enterprise enrol plugin added features,added following enterprise enrol ability update course full name ability update course short name ability create course creation ability update user record already knew except ability set update authentication type user creation added area turn course user set separator character,40
51,MDL-31379,Introduce new grading fields - dategraded and datesubmitted,could possibly new grading make grading easier note grade code hack create new code,5
52,MDL-31410,PayPal IPN Script exposed to message_send() failure,issue resolution merely need marked fixed main development branch script part enrolment method function cause entire enrolment method fail script payment script various regarding transaction script handle connection received student accordingly student via call connection various people work fine start getting failure warning history see list server moodle response happening people step failing script product failing server process would seem time cause web server return since step end moodle getting need however tolerate long automatically causing fail entirely solution really simple use wrapper function call try catch block execution whatever whole experience believe issue another matter may merely misconfiguration thing though send u successfully guess depending function attached version hope immediately main development branch probably affecting even people issue personally across wide range x moodle fixing run weekly someone else would fix push came shove thus fixed,3
53,MDL-31501,"New session infrastructure - file, database and memcached storage ",session handling important performance code hopefully good enough added core edit ticket session handler instead,100
54,MDL-31560,New message_send API is incapable of sending notfications from the $CFG->noreplyaddress.,old could need able many code currently use future please extend make possible old system able set fake name go beside example might get shy user moodle example forum poster decided want keep private quiz system moodle code think use important need see hard around time table guarantee sent synchronously message output address message table null default column note issue different,8
55,MDL-31597,"In User Report, Weights should not be displayed as a percentage",display grade user report grade book displayed incorrect used grade administration course grade user report set show show assign grade shown following,13
56,MDL-31625,Overfilling DB entries with a replace causes error,column constrained limit like replace new search fail error writing information error error value long type character update set replace array moodle stack trace line thrown line call line call line call execute line replace call ilicic made function fix running running replace command search update another row old row usable effectively doubling size greater original making column column data update fail replace greater search replace search column equal greater size search,13
57,MDL-31776,"Additional name fields, to allow Asian languages to flexibly display user names in Chinese characters, local phonetic system or Romanization",alternate name proposal behalf moodle association japan willing work closely moodle improvement help providing development standard moodle two use different writing system two need displayed name local writing system name moodle need way input individual administrator perhaps course level determine appear various moodle ideal configuration propose three additional standard usage would perhaps writing various possible would look like alternate site administrator would select variable would appear example administrator might select alternate would appear following would allow everyone know name pronounced even need since alternate example could read depending preference user family combination could also selected default user appear various table selected table one phonetic rather standard alphabet display filtering list first name last name similar selection display would appear selected alphabetic system selection would also need made phonetic system use system china system student id display many another problem much west people identical plus fact namely convenient method rely student id rather addition thus also option site set field displayed left various grade book assignment evaluation complexity time problem quite complex since core code perhaps table preference would need done close moodle headquarters would benefit improvement probably every institution staff read local language need able display local language various rather unsatisfactory ad currently used permanent elegant solution urgently,100
58,MDL-31830,Replacement for the course and category management pages,issue look possible replacement course category management within moodle management system currently getting pretty antiquated could really make could greatly streamlined get desired common onto would also great process moving could simplified likely enhancement could help think loading drag drop,100
59,MDL-31989,Global Search 2,global search currently removed moodle part project written global search implementation current dev master branch may view play global search password moodle dev,20
60,MDL-32275,enrol/users.php shows last access to the platform but not last access to the course,view enrol course specific enrolled course nevertheless field last access time user last platform although never course last course access much one field user last course,8
61,MDL-32450,DragMath GPL issue,jar jar file distributed moodle source code available go,8
62,MDL-32570,"Deleting ""Miscellaneous"" category broke the ability to use IMS Enterprise to create courses",miscellaneous category moodle ran enterprise script incident similar tracker moodle browse posting moodle forum discus remove one section script really term tag course category fine miscellaneous category script without problem empty course name spring name category miscellaneous category real spring category know version,2
63,MDL-32592,Category Undefined in IMS Enterprise,hi line enrol script category string longer however category empty result error notice undefined property category enrol line serious matter small bug easily fixed different statement empty group category provide patch necessarily best,2
64,MDL-32746,User login - trigger event,would possible add user login event event could triggered function user,3
65,MDL-32862,Links to some 1.9 resource types break after upgrade to 2.2 followed by backup and restore,reproduce create moodle course resource following type text page web page directory topic course text course create link resource upgrade moodle instance moodle point find link still work point resource view redirect correct moodle page view create backup file course restore backup file new course result link course work point resource view page show error message invalid course module id,13
66,MDL-32917,Upgrade dateselector to use YUI3 calendar module,form still calendar able convert calendar relatively easily,13
67,MDL-33057,Rewrite DND Upload to YUI module (performance),something would really nice given much course converted really well keep clean sam,100
68,MDL-33343,Unable to create a new page in wiki,problem running latest although reproduce computer create new page following error code default exception handler error writing duplicate entry key insert array n n n n line thrown line call line call line call line call line create call moodle view id code,5
69,MDL-33600,There is no checkbox to control sending feedback when grading an assignment,previously gave marker option send feedback grading assignment longer honest think option necessary recording absence sake consistency,8
70,MDL-33618,A way to hide messages that were configured to never be sent,user view sent via recent profile even user receive forced receive way suppress never actually user,13
71,MDL-33741,Teacher can't access course files in hidden categories using the Filepicker with the server files repository ,replication login administrator create create two one category assign teacher create file resource file course hide one login teacher enter course visible category create file resource click add file button access file picker select server repository click system access root result course hidden category listed try able see course,4
72,MDL-34055,Database function for fast bulk inserts,large number quite slow hundred per insert done testing found possible get performance boost multiple one query syntax insert table written generic function bulk quote insert multiple table batch insert syntax speed param string table table inserted param iterable object array inserted table return true error public function table quote function query either maximum query length maximum record count insert building fresh query pas whole array avoid data inserted memory although work simple finding quite make work field think core might wondering would interest getting core,8
73,MDL-34161,Fix LTI backup and restore to support course and site tools and submissions,discovered handling information backup restore especially related pointing course site far perfect also handled issue fix backup restore support information,1
74,MDL-34182,Invalid JSON output on filepicker when repository plugins output invalid content,moodle tried restore backup moodle select small backup file run file picker select one say file picker error dialogue box come invalid script turned found following script message invalid string fatal error memory size exhausted tried allocate home line checked code following sure go next create curl instance curl curl cache ret cache get return ret else ret curl cache cache set ret curl error curl echo return data ret echo echo error error curl empty error return ret else return error exception friendly throw new error curl anyone help get sorted please tried help found thanks,8
75,MDL-34209,Moving sections by drag and drop causes the sections to be reordered,move course sometimes reorder randomly bunch added content added section end plus icon tried drag drop location higher page section drop new location actually section random location reorder randomly well every time try reorder section,20
76,MDL-34248,Restoring a course fails at mdl_log insert,tried restore course new course following message log default exception handler data long column row insert time module action course array forum search search id search ce line thrown line call line call line backup call line backup plan class call line backup helper class call process line backup parser class call line backup helper class call line backup parser class call line backup parser class call line backup parser class call line backup parser class call publish line call line backup parser class call line backup parser class call parse line backup plan class call process line backup plan class call execute line backup plan class call execute line backup plan class call execute line backup controller class call execute line backup class call line backup restore call execute backup restore tue error client potential error found must server backup restore,13
77,MDL-34321,Assignment only partially disappears when Teacher using role switch to Student submits assignment ,assignment advanced file switched role student normally course creator teacher assignment test usually use fake student account task point successfully assignment state assignment student able modify assignment sent marking however see assignment yet submission else view assignment instance list empty minor inconvenience nothing checked regular student assignment submission normal test create assignment advanced switch role student submit send marking return normal role click view assignment verify assignment appear,8
78,MDL-34356,Allow the chooser dialogue to submit values for the radio button,affect activity chooser affect chooser dialogue disable number prevent duplicate include submit button radio button submit disabled though result chooser actually offer selection since ideally disable radio button need instead create new hidden field set name value radio button value sent request affect activity chooser chooser already default functionality set value custom intended target,3
79,MDL-34397,Develop course structure caching,main goal change move content course course complete list class longer extend read still used everywhere public legally use either class longer calculate data calculate extra conditional availability course course removed new application cache core information course cache additionally course table format necessary calculating availability additional section new field course added table course every time course cache reset object cache value moment cache built avoid race course cache simultaneously reset rebuild different people corrupt main le le ram usage heavy much le probability corrupt course cache hopefully none purge course well every core upgrade course access removed course course need raw user information call try overwrite append hint class function hit fatal error enjoy ide class calling list make sure retrieve pas field otherwise extra query made necessary calling current course core list return field anyway,100
80,MDL-34426,Port Google/Facebook Oauth2 plugin into core,port moodle view core specification moodle dev,20
81,MDL-34432,Assignment -teachers can no longer comment inline on online text,option comment copied text assignment feedback box teacher comment directly onto text striking red addition feedback see forum thread moodle forum discus seem way text version new assignment module available difficult find comment tracker testing seem interpret term differently notice one test actually see submission box yet test many like comment facility replicate marking exercise paper reproduce compare contrast create text assignment ensure comment checked log student account type text log back teacher account verify student text included feedback box could wished edit highlight create new assignment ensure text set yes feedback set yes log student account type text log back teacher verify text appear feedback box therefore scribble like exercise,8
82,MDL-34434,META: Collect together deprecated code changes for Moodle 2.6,number moodle marked warning use removed future many deadline especially moodle core code issue associated order time removal function lose sight issue used collect together,40
83,MDL-34454,remove message_get_my_providers() from lib/messagelib.php,since removed time,1
84,MDL-34472,Add deprecate warning to get_context_instance() function,add deprecate warning function,3
85,MDL-34496,issue(s) with custom block regions,custom block far aardvark version drag n drop aerie rocket successfully new block region drag n drop page layout longer work behaviour connected body class dock way sure create theme simple possible custom block block total dock,20
86,MDL-34587,Filenames w/ Spaces Generating incorrect SHA1,two different w cause incorrect hash resulting missing file probably additional bug two found thus far,40
87,MDL-34684,Adding a new health check to detect incorrect category path order and/or missing parent categories,corrupted course parent field path cause issue present current affected instead upgrade process add extra health check process explain fix problem query run summary description original description moodle moodle finally moodle build log click course category error full notice undefined index moodle line notice trying get property non object moodle line notice trying get property non object moodle line error must fixed programmer category path order incorrect missing error code stack trace line thrown line call line call line call line theme layout default call line call include line call line call header line call line call line course category call header go course logged fix script change anything code echo starting echo done code summary description original summary category path order incorrect missing,20
88,MDL-34744,MSSQL backup fails under some circumstances,problem running properly get stuck part way trying backup auto backup got stuck gave u problem certain big sense lot backup properly either manually system backup process ran error tried see could narrow particular example one course backup category level question bank lot unsuccessful hopefully useful someone please note detail fix done production tracing backup process found problem would always occur class file function within final array id annotation id call ticking along fine stopping multiple backup course waiting clear temp stuff ended failing point tracing function added query none originally function result array array return error error code message server native client query update set n id array stack trace line thrown line call line call line call line call line backup class call line backup call line backup plan class call line backup plan class call execute line backup plan class call execute line backup plan class call execute line backup controller class call execute line backup class call line backup backup call execute effect place would take longer backup process fail rather waiting like see happening table hard temp table since session based access moodle session temp table tool get around backup around line real table instead session based temp table removed ie becomes around table becomes table similar fix backup line change backup restore work hypothesis point long backup another connection made since temp table associated link original temp table lost data available course explain call ust time rather error actually system little change really satisfactory problem course one backup restore run system one time one temp table multiple conflict temp table related moodle forum discus posted early possibly related tracker moodle browse issue,40
89,MDL-35009,Deprecate get_context_instance_by_id() ,deprecate function usage removed core since function used everywhere deprecation warning added warning added function issue later function definition removed core thanks,1
90,MDL-35024,META: Collect together deprecated code changes for Moodle 2.7,number moodle marked warning use removed future many deadline especially moodle core code issue associated order time removal function lose sight issue used collect together,5
91,MDL-35032,book restore from moodle 1.9: Images are not imported,linked image moodle converted backup moodle reason moodle moodle blob master book backup file written link link chapter data array chapter id executed end code public function data chapter data array chapter id convert chapter chapter data id data content data content code,8
92,MDL-35146,Restore of wiki fails with unique constraint violation,moodle x x backing course particular error although data related source course upgrade default exception handler error writing error duplicate key value unique constraint insert id array error code line thrown line call line call line call line backup call line backup plan class call line backup helper class call process line backup parser class call line backup helper class call line backup parser class call line backup parser class call line backup parser class call line backup parser class call publish line call line backup parser class call line backup parser class call parse line backup plan class call process line backup plan class call execute line backup class call execute line backup plan class call execute line backup plan class call execute line backup controller class call execute related moodle select id id course module instance section added score indent visible completion moodle select id id course name collaborative moodle select id moodle select id title select id id title,13
93,MDL-35423,Activity chooser links and toolbox links not correctly created if you don't have a wrapper div called #page-content,chooser link div page content theme looking defined start file course body work impact performance since used one following section li section div div,5
94,MDL-35848,Login Page lacks visible focus path,issue visible focus path focus path perceivable anywhere interface making impossible someone keyboard see part interface currently standard level aa impact critical example link moodle net test tab login page,8
95,MDL-35919,Add activity and resource link doesn't announce when the modal appears,issue context add activity resource link announce screen modal guidance modal window screen reader standard level minimize error ensure impact serious critical example link moodle net course view id test login teacher navigate course click add activity resource link screen reader notice nothing modal,8
96,MDL-35922,Create folder button in file manager does not announce modal opened,issue context create folder link file picker announce screen modal guidance modal window screen reader standard level minimize error ensure impact serious critical example link moodle net assign view id action test login student navigate course click assignment click add click create folder button file picker screen reader one notice nothing screen reader,3
97,MDL-35923,Create folder modal in file manager does not focus on the text input field,issue context change user create folder modal focus put modal window sent back top page screen reader keyboard make way back modal window find impossible get back therefore close standard level minimize error impact critical example link moodle net assign view id action test login student navigate course click assignment click add click create folder button file picker screen reader one notice screen reader reading top page,2
98,MDL-35925,Add... button does not announce modal opened,issue context add link file picker announce screen modal standard level minimize error impact serious example link moodle net assign view id action test login student navigate course click assignment click add click add button file picker screen reader one notice nothing screen reader,13
99,MDL-35926,Add.. modal allows tab focus to go outside the modal,issue context change user add modal focus put modal window sent back top page screen reader keyboard make way back modal window find impossible get back therefore close standard level minimize error impact critical example link moodle net assign view id action test login student navigate course click assignment click add click add button file picker screen reader one notice screen reader reading top page,8
100,MDL-35927,Add... Modal Error Modal does not announce modal opened,issue context error file picker error modal announce screen modal guidance modal window screen reader standard level minimize error ensure impact serious critical example link moodle net assign view id action test login student navigate course click assignment click add click private button file picker screen reader user logged notice nothing screen reader error modal,2
101,MDL-35928,File picker Error modal does not focus on text,issue context change file error modal focus put modal window sent back top page screen reader keyboard make way back modal window find impossible get back therefore close standard level minimize error impact critical example link moodle net assign view id action test login student navigate course click assignment click add click private button file picker screen reader user session time notice screen reader reading top page,3
102,MDL-35930,Filepicker and file manager view files buttons do not announce change on the page,issue context user upper right file picker change view type detail tree user informed change page also within file repository add button guidance modal window screen reader standard level minimize error ensure impact serious critical example link moodle net assign view id action test login student navigate course click assignment click add click tree icon notice nothing screen reader error modal,8
103,MDL-35931,Filepicker selecting a repository does not announce a change in the modal,issue context user repository add modal user informed change right hand side modal standard level minimize error impact serious example link moodle net assign view id action test login student navigate course click assignment click add click add icon click private notice nothing screen reader repository,8
104,MDL-35933,File manager file size and number limits are not keyboard accessible,issue keyboard access file size limit number limit upper right file manager part tab order user screen reader unable access visually user know many limit file size standard level minimize error impact serious example link moodle net test login student navigate course click assignment click add,2
105,MDL-35934,File manager selecting file does not announce that the file modal opened,issue context user file user informed file edit modal standard level minimize error impact serious example link moodle net assign view id action test login student navigate course click assignment click add click file click file notice nothing screen reader file edit modal,8
106,MDL-35973,Moodle redirect to new page has no page title (specifically forums),specifically found create discussion reply post behavior redirection moodle library function issue sufficient message confirmation message posted discussion thread new page redirection another page behavior reflected page title screen reader understand going timing adjustable posting reply discussion page message posted successfully continue enough time given user click continue button user different page page read standard level understanding minimize error understanding time impact serious critical example link accessibility net forum post reply test login navigate algebra course click forum click create discussion button add necessary information click post view redirection page,5
107,MDL-35981,Comment delete confirmation yes/no pop-up not detected by JAWS or Voiceover,issue error identification error yes link delete comment mac delete icon via mouse keyboard navigate delete icon enter cause yes appear standard level impact critical example link accessibility net index test login navigate link expand area click delete comment button comment screen reader notice nothing stated yes appear,3
108,MDL-35984,Gradebook Sum of grades shows wrong total if items are hidden,sum aggregation one hidden total shown longer correct sum mean reproduce make grade set total make easy find student mark set aggregation sum extra credit aggregate non empty view user report see total student login student account view total go full view hide assignment used eye list produce result go course grade change hide contain hidden show excluding hidden change show hidden show view user report total however total shown total whichever item hidden total always hidden total item hidden sum total include item hidden total student score however total remains tested find anything similar tracker found may related tracker moodle browse,20
109,MDL-36002,Move action for activities and course sections are not keyboard accessible with javascript enabled,issue keyboard move activity move section accessible keyboard alone standard level understanding keyboard operation keyboard operable impact serious example link moodle net course view id test login teacher navigate course turn try tab move icon activity section,8
110,MDL-36003,Add event/logging when student views grades,time would much like know whether however anything else currently logged would helpful could logged view need added following grader report report overview report user report also add event report grade report grader id,20
111,MDL-36005,Forms help icons are placed within labels,issue form moodle help place help icon within label label text impossible understand function input help text spoken screen reader part label input field standard level understanding text impact critical example link core course view id section test login teacher access course add assignment screen reader navigate allow field listen spoken,20
112,MDL-36009,Gradebook table uses complex tables that are not accessible,issue teacher complex table accessible row incorrect user different row actually student screen reader incorrectly reading wrong row header data blank cell top left corner table standard level understanding content structure separation programmatic impact critical example link moodle net test login teacher navigate click link try navigate table reduce complexity grade table provide alternative accessible interface correct structure complex table ensure row line correct row test variety screen explicitly set table data cell row column edit unable reproduce behaviour code accessibility issue namely top left cell single cell label visible screen namely scope set col make relate three header removed grade report cell cell header row participant name cell better behaviour given cell screen reader first column information category course activity title row information user name content cell given floating user panel user name acceptable note lot within yet appropriate aria e g user picture mostly left top left filler logic generate single big filler cell instead multiple filler set scope attribute target added span hold label said string user header class onto first column added class first column rather th screen count row user screen activity activity screen,20
113,MDL-36011,flexible table hide column does not announce change to screen reader,issue context change showing column assignment grading screen announce change user would useful rely aria live polite tell screen live closed provide another similar mechanism standard level understanding minimize error impact serious example link moodle net assign view action grading id test login teacher access click assignment click grade close column report notice nothing,3
114,MDL-36034,pre-cache active filters for course categories to significantly reduce database queries,lot course filter content e g currently excessively many made e g per course category example course often case large course index course category call get context instance course category something branch moodle tree course commit moodle commit course category context course index course category significantly two get course category instead one every course category,20
